episode,step,pos_x,pos_y,action,action_was_parsed,complexity,depth,reward,cumulative_depth,depth_budget_remaining,done,success
0,0,0,1,right,False,0.56398,0,-0.01,0,15,False,False
0,1,0,0,left,False,0.545646,0,-0.01,0,15,False,False
0,2,1,0,down,False,0.56398,0,-0.01,0,15,False,False
0,3,2,0,down,False,0.460646,0,-0.01,0,15,False,False
0,4,2,1,right,False,0.442313,0,-0.01,0,15,True,False
1,0,1,0,down,False,0.56398,0,-0.01,0,15,False,False
1,1,1,1,right,False,0.460646,0,-0.01,0,15,False,False
1,2,0,1,up,False,0.357313,0,-0.01,0,15,False,False
1,3,0,0,left,False,0.460646,0,-0.01,0,15,False,False
1,4,1,0,down,False,0.56398,0,-0.01,0,15,True,False
